Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
0.3612,Sun Sep 09 20:06:03 +0000 2018,0.828,0.0,0.172,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","This is what it's like to live through a school shooting.
(via @BBCThree) https://t.co/itHFZzKHga",1
0.2263,Sun Sep 09 18:05:00 +0000 2018,0.909,0.0,0.091,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",This family *might* own an abstract sculpture worth hundreds of thousands... if it weren't for the cat knocking it… https://t.co/yg9TVb27rs,2
0.4199,Sun Sep 09 17:03:05 +0000 2018,0.741,0.0,0.259,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Next time you're passing a goat - remember to smile! 😊https://t.co/TgdjINT4BS,3
0.4574,Sun Sep 09 16:10:02 +0000 2018,0.786,0.0,0.214,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","😂✈️🎁Should you buy holiday gifts for co-workers? @JoshWiddicombe doesn't think so! 

https://t.co/GdVPf7puPX",4
0.4404,Sun Sep 09 15:06:02 +0000 2018,0.756,0.0,0.244,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",❤️ An unlikely friendship that will melt your heart. https://t.co/DVpVhIssTc,5
0.2732,Sun Sep 09 14:35:05 +0000 2018,0.89,0.0,0.11,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🎶🎤How well do you know your 90s boy bands and girl groups? Test your knowledge ➡️

https://t.co/5FhHCSMkf0 https://t.co/rd3tkjSJoM",6
-0.4215,Sun Sep 09 13:04:06 +0000 2018,0.859,0.141,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","There are 15 methods of contraception available on the NHS, but no contraceptive is 100% reliable.
👉… https://t.co/pmVBULg4Vx",7
0.6114,Sun Sep 09 12:07:02 +0000 2018,0.8,0.0,0.2,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @bbcgetinspired: Sir Mo Farah wins the #GreatNorthRun for the fifth consecutive year!

Live: https://t.co/fiyzhsUDpF
#GreatNorthRun http…",8
0.0,Sun Sep 09 12:03:06 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Can you guess the secret ingredient that magically turns into #vegan mayo? https://t.co/d8oB0dlkWR,9
0.1531,Sun Sep 09 11:07:06 +0000 2018,0.849,0.0,0.151,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","Yeah, but where are you REALLY from?
(via @BBCThree) https://t.co/EL59Zgnjxz",10
