City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,tuatapere,0,NZ,1536034829,100,-46.13,167.69,49.86,5.19
1,butaritari,0,KI,1536035074,100,3.07,172.79,84.78,2.51
2,rikitea,64,PF,1536035074,100,-23.12,-134.97,70.47,30.02
3,punta arenas,40,CL,1536033600,99,-53.16,-70.91,35.6,33.33
4,jamestown,0,AU,1536035075,68,-33.21,138.6,54.45,8.32
5,lithakia,0,GR,1536033000,83,37.72,20.83,75.2,11.79
6,saskylakh,56,RU,1536034886,81,71.97,114.09,42.3,19.17
7,nemuro,75,JP,1536033600,77,43.32,145.57,64.4,10.29
8,bathsheba,40,BB,1536033600,83,13.22,-59.52,82.4,14.99
9,constitucion,90,MX,1536029340,88,23.99,-104.67,62.6,5.19
10,bredasdorp,8,ZA,1536030000,93,-34.53,20.04,48.2,2.24
11,yellowknife,75,CA,1536030000,64,62.45,-114.38,39.2,3.36
12,appenzell,44,CH,1536033000,100,47.33,9.41,57.2,1.12
13,barrow,0,AR,1536034812,68,-38.31,-60.23,46.62,10.22
14,albany,90,US,1536033240,76,42.65,-73.75,75.92,4.7
15,nome,20,US,1536033180,90,30.04,-94.42,78.08,8.05
16,vaini,88,IN,1536034814,99,15.34,74.49,70.83,7.2
17,thompson,75,CA,1536030000,87,55.74,-97.86,50.0,3.36
18,kasangulu,40,CD,1536030000,73,-4.59,15.17,75.2,4.7
19,mitsamiouli,75,KM,1536030000,78,-11.38,43.28,77.0,6.93
20,baykalsk,92,RU,1536035079,98,51.52,104.15,58.32,5.97
21,hobart,75,AU,1536033600,41,-42.88,147.33,57.2,8.05
22,cherskiy,92,RU,1536034882,82,68.75,161.3,41.13,6.64
23,mizdah,0,LY,1536035080,45,31.45,12.98,69.39,5.08
24,tuktoyaktuk,90,CA,1536031500,100,69.44,-133.03,37.4,11.41
25,avarua,75,CK,1536030000,69,-21.21,-159.78,75.2,13.87
26,saint-philippe,1,CA,1536033600,94,45.36,-73.48,71.6,6.93
27,ushuaia,40,AR,1536030000,86,-54.81,-68.31,37.4,10.29
28,saint-augustin,0,FR,1536031800,72,44.83,-0.61,62.6,4.7
29,kapaa,75,US,1536033360,97,22.08,-159.32,84.02,12.75
30,grindavik,90,IS,1536033600,100,63.84,-22.43,50.0,12.75
31,atuona,8,PF,1536034867,100,-9.8,-139.03,79.56,16.82
32,bluff,20,AU,1536034812,35,-23.58,149.07,78.3,4.97
33,magistralnyy,24,RU,1536035081,54,56.17,107.45,54.18,3.51
34,awjilah,0,LY,1536035082,50,29.14,21.3,67.41,2.73
35,carnarvon,0,ZA,1536034865,39,-30.97,22.13,39.6,10.78
36,hambantota,32,LK,1536034842,91,6.12,81.12,82.26,10.11
37,wahpeton,1,US,1536034560,88,46.27,-96.61,69.8,10.29
38,yar-sale,36,RU,1536035082,92,66.83,70.83,55.71,16.49
39,kaniama,0,CD,1536035083,78,-7.57,24.18,70.56,4.07
40,khatanga,92,RU,1536034841,92,71.98,102.47,41.58,23.87
41,omsukchan,68,RU,1536035084,64,62.53,155.8,51.3,4.41
42,kahului,40,US,1536034140,79,20.89,-156.47,82.94,18.34
43,wajima,75,JP,1536033600,70,37.4,136.9,86.0,5.82
44,vao,0,EE,1536035084,88,59.1,26.19,52.29,3.96
45,hermanus,8,ZA,1536034819,93,-34.42,19.24,44.28,6.76
46,qaanaaq,88,GL,1536034881,100,77.48,-69.36,31.23,10.67
47,cabo san lucas,20,MX,1536032400,69,22.89,-109.91,80.6,4.7
48,capissayan,0,PH,1536035085,89,18.05,121.82,84.15,0.94
49,nikolskoye,90,RU,1536031800,100,59.7,30.79,55.4,4.47
50,dongsheng,0,CN,1536035086,57,29.72,112.52,91.35,4.97
51,opuwo,0,NA,1536034865,71,-18.06,13.84,47.34,2.84
52,upernavik,0,GL,1536034867,100,72.79,-56.15,36.54,10.67
53,gannan,92,CN,1536035086,100,47.92,123.49,64.35,9.1
54,seymchan,56,RU,1536035087,67,62.93,152.39,54.9,3.85
55,acari,0,BR,1536034940,82,-6.44,-36.64,67.32,11.23
56,talikota,56,IN,1536035087,83,16.48,76.32,73.8,10.0
57,teya,90,MX,1536032880,94,21.05,-89.07,77.0,8.05
58,mataura,32,NZ,1536034824,86,-46.19,168.86,52.2,4.18
59,sao joao da barra,0,BR,1536035088,91,-21.64,-41.05,75.96,31.92
60,flin flon,92,CA,1536034946,100,54.77,-101.88,53.46,8.66
61,arraial do cabo,68,BR,1536034819,99,-22.97,-42.02,69.66,11.56
62,abu samrah,0,SY,1536035088,89,35.3,37.18,65.16,5.41
63,cumberland,40,US,1536033360,90,41.97,-71.43,82.04,5.82
64,ilulissat,92,GL,1536033000,100,69.22,-51.1,37.4,9.17
65,gonen,75,IL,1536033000,83,33.12,35.65,69.8,3.36
66,hithadhoo,24,MV,1536034846,100,-0.6,73.08,83.61,1.72
67,mar del plata,20,AR,1536034847,46,-46.43,-67.52,58.77,29.46
68,chilliwack,1,CA,1536033180,66,49.17,-121.95,60.8,1.72
69,semey,0,KZ,1536034962,86,50.41,80.25,49.95,4.18
70,port alfred,0,ZA,1536034820,100,-33.59,26.89,59.4,12.68
71,haapiti,75,PF,1536033600,73,-17.57,-149.87,77.0,10.29
72,faanui,88,PF,1536034846,100,-16.48,-151.75,72.36,11.79
73,panguipulli,8,CL,1536033600,100,-39.64,-72.33,35.6,2.24
74,margate,75,AU,1536033600,41,-43.03,147.26,57.2,8.05
75,lebu,56,ET,1536034831,97,8.96,38.73,50.94,2.73
76,oussouye,40,SN,1536030000,94,12.49,-16.54,78.8,9.17
77,buala,20,SB,1536034933,93,-8.15,159.59,83.52,5.97
78,kamaishi,75,JP,1536033600,78,39.28,141.86,78.8,11.41
79,half moon bay,90,US,1536033600,93,37.46,-122.43,68.0,5.82
80,bilibino,92,RU,1536035093,87,68.06,166.44,45.72,4.18
81,new london,1,US,1536034500,81,43.41,-71.99,80.06,6.93
82,esperance,75,TT,1536033600,88,10.24,-61.45,78.8,5.82
83,nushki,0,PK,1536035093,23,29.55,66.02,60.3,2.17
84,cape town,40,ZA,1536030000,93,-33.93,18.42,51.8,11.41
85,naantali,90,FI,1536033000,93,60.45,22.03,55.4,5.82
86,vardo,1,US,1536033300,74,39.62,-77.74,80.06,3.36
